gender,age,height,weight,isOverweight,ageGroup
F,95,182,144,True,90 - 100
M,54,189,79,True,50 - 60
M,99,148,41,False,90 - 100
M,13,187,54,False,10 - 20
F,61,87,56,True,60 - 70
M,92,133,63,True,90 - 100
F,59,96,50,False,50 - 60
M,72,145,25,False,70 - 80
M,18,93,122,False,10 - 20
F,73,115,42,False,70 - 80
M,90,92,155,True,90 - 100
F,5,151,166,True,0 - 10
F,45,147,55,True,40 - 50
F,23,106,124,True,20 - 30
F,73,197,140,True,70 - 80
F,4,107,47,False,0 - 10
M,35,191,62,False,30 - 40
M,5,92,91,False,0 - 10
M,50,179,104,False,50 - 60
F,38,165,163,True,30 - 40
F,97,70,41,True,90 - 100
M,58,178,177,True,50 - 60
M,68,199,68,True,60 - 70
M,29,87,174,True,20 - 30
F,61,81,50,True,60 - 70
F,26,164,109,False,20 - 30
F,21,99,183,False,20 - 30
F,40,141,22,False,40 - 50
F,20,135,96,False,20 - 30
M,46,71,170,True,40 - 50
