gender,age,height,weight,isOverweight,ageGroup
F,24,192,166,True,20 - 30
M,19,94,35,True,10 - 20
F,73,76,184,False,70 - 80
F,35,58,194,False,30 - 40
M,98,53,118,False,90 - 100
F,14,100,33,False,10 - 20
F,57,112,44,True,50 - 60
F,46,149,81,False,40 - 50
F,3,118,139,True,0 - 10
F,25,103,28,False,20 - 30
F,46,109,169,False,40 - 50
F,70,150,144,False,70 - 80
F,29,94,42,True,20 - 30
F,4,77,199,False,0 - 10
M,87,68,131,False,80 - 90
F,17,53,72,False,10 - 20
M,52,128,102,True,50 - 60
M,75,138,112,True,70 - 80
M,79,188,105,False,70 - 80
M,84,101,42,False,80 - 90
M,80,123,122,False,80 - 90
F,79,147,172,True,70 - 80
M,71,108,196,True,70 - 80
M,50,86,99,True,50 - 60
F,20,73,109,True,20 - 30
F,35,178,175,False,30 - 40
F,54,155,98,True,50 - 60
F,90,95,123,True,90 - 100
M,13,179,165,False,10 - 20
M,78,165,59,True,70 - 80
