gender,age,height,weight,isOverweight,ageGroup
M,39,152,108,False,30 - 40
M,8,118,106,False,0 - 10
M,16,161,110,True,10 - 20
M,94,110,115,True,90 - 100
M,47,117,152,True,40 - 50
F,29,127,110,True,20 - 30
M,5,95,65,False,0 - 10
M,39,142,196,False,30 - 40
F,20,189,112,False,20 - 30
F,84,145,116,False,80 - 90
F,66,73,124,True,60 - 70
M,47,60,170,True,40 - 50
F,17,174,50,False,10 - 20
F,80,193,43,False,80 - 90
F,9,183,156,False,0 - 10
M,50,52,78,False,50 - 60
F,20,149,49,True,20 - 30
F,29,63,92,False,20 - 30
F,70,67,155,False,70 - 80
F,73,153,124,False,70 - 80
M,96,54,50,True,90 - 100
F,10,154,92,False,10 - 20
M,63,174,93,True,60 - 70
M,69,76,71,False,60 - 70
F,15,160,77,True,10 - 20
M,63,161,151,False,60 - 70
F,64,76,116,False,60 - 70
M,78,175,92,False,70 - 80
F,76,125,193,False,70 - 80
M,1,121,132,True,0 - 10
